latitude,longitude,altitude,geometry,Name,description
46.380925,14.067135,,Point,Zgornje Gorje,4247
46.38957,14.49646,,Point,Zgornje Jezersko,4206
46.332232,15.932236,,Point,Zgornji Leskovec,2285
46.09121,15.185852,,Point,Zidani Most,1432
46.371569,15.393219,,Point,Zreče,3214
46.198844,14.337845,,Point,Žabnica,4209
46.252048,15.167999,,Point,Žalec,3310
46.228778,14.16481,,Point,Železniki,4228
46.277207,15.795593,,Point,Žetale,2287
46.046072,14.112625,,Point,Žiri,4226
46.407091,14.135284,,Point,Žirovnica,4274
45.834062,14.927673,,Point,Žužemberk,8360
